Precinct,County,Registered Voters,Al Bartell (Ind)_Election Day Votes,Al Bartell (Ind)_Advanced Voting Votes,Al Bartell (Ind)_Absentee by Mail Votes,Al Bartell (Ind)_Provisional Votes,Al Bartell (Ind)_Choice Total,Allen Buckley (Ind)_Election Day Votes,Allen Buckley (Ind)_Advanced Voting Votes,Allen Buckley (Ind)_Absentee by Mail Votes,Allen Buckley (Ind)_Provisional Votes,Allen Buckley (Ind)_Choice Total,Doug Collins (Rep)_Election Day Votes,Doug Collins (Rep)_Advanced Voting Votes,Doug Collins (Rep)_Absentee by Mail Votes,Doug Collins (Rep)_Provisional Votes,Doug Collins (Rep)_Choice Total,John Fortuin (Grn)_Election Day Votes,John Fortuin (Grn)_Advanced Voting Votes,John Fortuin (Grn)_Absentee by Mail Votes,John Fortuin (Grn)_Provisional Votes,John Fortuin (Grn)_Choice Total,Derrick E. Grayson (Rep)_Election Day Votes,Derrick E. Grayson (Rep)_Advanced Voting Votes,Derrick E. Grayson (Rep)_Absentee by Mail Votes,Derrick E. Grayson (Rep)_Provisional Votes,Derrick E. Grayson (Rep)_Choice Total,Michael Todd Greene (Ind)_Election Day Votes,Michael Todd Greene (Ind)_Advanced Voting Votes,Michael Todd Greene (Ind)_Absentee by Mail Votes,Michael Todd Greene (Ind)_Provisional Votes,Michael Todd Greene (Ind)_Choice Total,Annette Davis Jackson (Rep)_Election Day Votes,Annette Davis Jackson (Rep)_Advanced Voting Votes,Annette Davis Jackson (Rep)_Absentee by Mail Votes,Annette Davis Jackson (Rep)_Provisional Votes,Annette Davis Jackson (Rep)_Choice Total,Deborah Jackson (Dem)_Election Day Votes,Deborah Jackson (Dem)_Advanced Voting Votes,Deborah Jackson (Dem)_Absentee by Mail Votes,Deborah Jackson (Dem)_Provisional Votes,Deborah Jackson (Dem)_Choice Total,Jamesia James (Dem)_Election Day Votes,Jamesia James (Dem)_Advanced Voting Votes,Jamesia James (Dem)_Absentee by Mail Votes,Jamesia James (Dem)_Provisional Votes,Jamesia James (Dem)_Choice Total,A. Wayne Johnson (Rep)_Election Day Votes,A. Wayne Johnson (Rep)_Advanced Voting Votes,A. Wayne Johnson (Rep)_Absentee by Mail Votes,A. Wayne Johnson (Rep)_Provisional Votes,A. Wayne Johnson (Rep)_Choice Total,Tamara Johnson-Shealey (Dem)_Election Day Votes,Tamara Johnson-Shealey (Dem)_Advanced Voting Votes,Tamara Johnson-Shealey (Dem)_Absentee by Mail Votes,Tamara Johnson-Shealey (Dem)_Provisional Votes,Tamara Johnson-Shealey (Dem)_Choice Total,Matt Lieberman (Dem)_Election Day Votes,Matt Lieberman (Dem)_Advanced Voting Votes,Matt Lieberman (Dem)_Absentee by Mail Votes,Matt Lieberman (Dem)_Provisional Votes,Matt Lieberman (Dem)_Choice Total,Kelly Loeffler (I) (Rep)_Election Day Votes,Kelly Loeffler (I) (Rep)_Advanced Voting Votes,Kelly Loeffler (I) (Rep)_Absentee by Mail Votes,Kelly Loeffler (I) (Rep)_Provisional Votes,Kelly Loeffler (I) (Rep)_Choice Total,Joy Felicia Slade (Dem)_Election Day Votes,Joy Felicia Slade (Dem)_Advanced Voting Votes,Joy Felicia Slade (Dem)_Absentee by Mail Votes,Joy Felicia Slade (Dem)_Provisional Votes,Joy Felicia Slade (Dem)_Choice Total,Brian Slowinski (Lib)_Election Day Votes,Brian Slowinski (Lib)_Advanced Voting Votes,Brian Slowinski (Lib)_Absentee by Mail Votes,Brian Slowinski (Lib)_Provisional Votes,Brian Slowinski (Lib)_Choice Total,Valencia Stovall (Ind)_Election Day Votes,Valencia Stovall (Ind)_Advanced Voting Votes,Valencia Stovall (Ind)_Absentee by Mail Votes,Valencia Stovall (Ind)_Provisional Votes,Valencia Stovall (Ind)_Choice Total,Ed Tarver (Dem)_Election Day Votes,Ed Tarver (Dem)_Advanced Voting Votes,Ed Tarver (Dem)_Absentee by Mail Votes,Ed Tarver (Dem)_Provisional Votes,Ed Tarver (Dem)_Choice Total,Kandiss Taylor (Rep)_Election Day Votes,Kandiss Taylor (Rep)_Advanced Voting Votes,Kandiss Taylor (Rep)_Absentee by Mail Votes,Kandiss Taylor (Rep)_Provisional Votes,Kandiss Taylor (Rep)_Choice Total,Raphael Warnock (Dem)_Election Day Votes,Raphael Warnock (Dem)_Advanced Voting Votes,Raphael Warnock (Dem)_Absentee by Mail Votes,Raphael Warnock (Dem)_Provisional Votes,Raphael Warnock (Dem)_Choice Total,Richard Dien Winfield (Dem)_Election Day Votes,Richard Dien Winfield (Dem)_Advanced Voting Votes,Richard Dien Winfield (Dem)_Absentee by Mail Votes,Richard Dien Winfield (Dem)_Provisional Votes,Richard Dien Winfield (Dem)_Choice Total,Total,calc_participation
Wesley Methodist,Columbia,2434.0,1.0,4.0,2.0,0.0,7.0,2.0,5.0,0.0,0.0,7.0,108.0,340.0,71.0,1.0,520.0,0.0,5.0,1.0,0.0,6.0,5.0,8.0,5.0,0.0,18.0,5.0,2.0,0.0,0.0,7.0,8.0,9.0,5.0,0.0,22.0,7.0,49.0,18.0,0.0,74.0,4.0,14.0,3.0,0.0,21.0,4.0,10.0,0.0,0.0,14.0,1.0,7.0,2.0,0.0,10.0,16.0,31.0,15.0,0.0,62.0,183.0,433.0,106.0,2.0,724.0,4.0,5.0,2.0,0.0,11.0,7.0,4.0,2.0,0.0,13.0,1.0,4.0,0.0,0.0,5.0,4.0,15.0,6.0,0.0,25.0,7.0,5.0,2.0,0.0,14.0,47.0,160.0,115.0,1.0,323.0,2.0,1.0,3.0,0.0,6.0,1889.0,77.6
Col Cty Main Library,Columbia,2106.0,2.0,0.0,2.0,0.0,4.0,0.0,2.0,3.0,0.0,5.0,63.0,264.0,45.0,0.0,372.0,1.0,2.0,0.0,0.0,3.0,2.0,13.0,1.0,0.0,16.0,2.0,1.0,0.0,0.0,3.0,5.0,8.0,3.0,0.0,16.0,9.0,46.0,20.0,0.0,75.0,1.0,6.0,6.0,0.0,13.0,4.0,7.0,0.0,0.0,11.0,5.0,11.0,6.0,0.0,22.0,9.0,17.0,16.0,0.0,42.0,112.0,383.0,81.0,0.0,576.0,1.0,6.0,1.0,0.0,8.0,3.0,6.0,1.0,0.0,10.0,0.0,1.0,1.0,0.0,2.0,7.0,16.0,15.0,0.0,38.0,2.0,6.0,0.0,0.0,8.0,29.0,172.0,118.0,1.0,320.0,0.0,3.0,1.0,0.0,4.0,1548.0,73.5
Christ Church Presbyterian,Columbia,2081.0,0.0,2.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,6.0,81.0,293.0,61.0,0.0,435.0,0.0,2.0,1.0,0.0,3.0,4.0,10.0,2.0,0.0,16.0,1.0,1.0,1.0,0.0,3.0,6.0,13.0,2.0,0.0,21.0,7.0,30.0,19.0,1.0,57.0,1.0,2.0,9.0,0.0,12.0,5.0,4.0,1.0,0.0,10.0,5.0,11.0,4.0,0.0,20.0,14.0,25.0,16.0,0.0,55.0,183.0,408.0,75.0,1.0,667.0,1.0,2.0,0.0,0.0,3.0,3.0,12.0,1.0,0.0,16.0,1.0,0.0,1.0,0.0,2.0,1.0,13.0,10.0,0.0,24.0,2.0,9.0,2.0,0.0,13.0,37.0,145.0,98.0,0.0,280.0,1.0,3.0,4.0,0.0,8.0,1653.0,79.4
Blue Ridge Elementary,Columbia,2301.0,2.0,0.0,1.0,0.0,3.0,2.0,3.0,0.0,0.0,5.0,85.0,232.0,63.0,0.0,380.0,3.0,2.0,2.0,0.0,7.0,5.0,16.0,1.0,0.0,22.0,0.0,4.0,0.0,0.0,4.0,6.0,7.0,3.0,0.0,16.0,20.0,44.0,27.0,1.0,92.0,7.0,9.0,4.0,0.0,20.0,3.0,5.0,1.0,0.0,9.0,13.0,11.0,5.0,0.0,29.0,14.0,17.0,10.0,0.0,41.0,157.0,340.0,73.0,0.0,570.0,5.0,4.0,2.0,0.0,11.0,8.0,10.0,5.0,0.0,23.0,2.0,2.0,1.0,0.0,5.0,6.0,24.0,14.0,0.0,44.0,6.0,5.0,2.0,0.0,13.0,67.0,161.0,100.0,0.0,328.0,4.0,3.0,3.0,0.0,10.0,1632.0,70.9
Christ The King Luth Church,Columbia,2148.0,0.0,0.0,3.0,0.0,3.0,1.0,3.0,1.0,0.0,5.0,65.0,298.0,100.0,0.0,463.0,1.0,2.0,2.0,0.0,5.0,4.0,9.0,2.0,0.0,15.0,0.0,4.0,1.0,0.0,5.0,3.0,10.0,4.0,0.0,17.0,6.0,30.0,29.0,0.0,65.0,3.0,5.0,8.0,0.0,16.0,3.0,2.0,2.0,0.0,7.0,3.0,7.0,13.0,0.0,23.0,6.0,27.0,16.0,0.0,49.0,123.0,430.0,138.0,0.0,691.0,2.0,6.0,3.0,0.0,11.0,2.0,4.0,2.0,0.0,8.0,0.0,2.0,0.0,0.0,2.0,4.0,14.0,9.0,0.0,27.0,1.0,7.0,2.0,0.0,10.0,21.0,155.0,126.0,1.0,303.0,0.0,2.0,7.0,0.0,9.0,1734.0,80.7
Colbert,Madison,3342.0,2.0,2.0,3.0,0.0,7.0,1.0,2.0,3.0,0.0,6.0,221.0,512.0,110.0,1.0,844.0,2.0,4.0,3.0,0.0,9.0,9.0,12.0,5.0,0.0,26.0,1.0,1.0,1.0,0.0,3.0,4.0,11.0,0.0,0.0,15.0,23.0,57.0,24.0,0.0,104.0,5.0,12.0,11.0,0.0,28.0,3.0,8.0,2.0,0.0,13.0,8.0,12.0,7.0,0.0,27.0,10.0,25.0,11.0,0.0,46.0,198.0,418.0,109.0,0.0,725.0,9.0,4.0,4.0,0.0,17.0,8.0,3.0,4.0,0.0,15.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,6.0,7.0,9.0,1.0,0.0,17.0,92.0,200.0,155.0,0.0,447.0,3.0,4.0,0.0,0.0,7.0,2363.0,70.7
Collins,Madison,647.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,88.0,84.0,22.0,0.0,194.0,0.0,0.0,1.0,0.0,1.0,2.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,4.0,1.0,3.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,4.0,95.0,69.0,22.0,0.0,186.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,6.0,12.0,17.0,16.0,0.0,45.0,0.0,2.0,0.0,0.0,2.0,466.0,72.0
Comer,Madison,1441.0,3.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,2.0,102.0,201.0,47.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,4.0,0.0,13.0,1.0,2.0,0.0,0.0,3.0,2.0,1.0,4.0,0.0,7.0,16.0,17.0,4.0,0.0,37.0,4.0,9.0,2.0,0.0,15.0,6.0,3.0,0.0,0.0,9.0,7.0,4.0,7.0,0.0,18.0,7.0,11.0,3.0,0.0,21.0,101.0,151.0,38.0,0.0,290.0,1.0,2.0,1.0,0.0,4.0,5.0,0.0,1.0,0.0,6.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,2.0,0.0,11.0,62.0,84.0,120.0,0.0,266.0,1.0,3.0,3.0,0.0,7.0,1066.0,74.0
Danielsville,Madison,3003.0,1.0,1.0,1.0,0.0,3.0,5.0,3.0,0.0,0.0,8.0,142.0,655.0,164.0,0.0,961.0,4.0,0.0,0.0,0.0,4.0,6.0,16.0,3.0,0.0,25.0,4.0,4.0,1.0,0.0,9.0,7.0,10.0,2.0,0.0,19.0,7.0,22.0,19.0,0.0,48.0,2.0,3.0,1.0,0.0,6.0,3.0,11.0,6.0,0.0,20.0,2.0,2.0,3.0,0.0,7.0,6.0,18.0,8.0,0.0,32.0,109.0,466.0,109.0,0.0,684.0,3.0,2.0,4.0,0.0,9.0,6.0,2.0,1.0,0.0,9.0,0.0,4.0,1.0,0.0,5.0,2.0,0.0,2.0,0.0,4.0,6.0,18.0,1.0,0.0,25.0,22.0,121.0,92.0,0.0,235.0,0.0,0.0,2.0,0.0,2.0,2115.0,70.4
Fork,Madison,566.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,80.0,41.0,11.0,0.0,132.0,0.0,1.0,1.0,0.0,2.0,7.0,1.0,1.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,4.0,6.0,5.0,0.0,15.0,2.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,5.0,4.0,1.0,2.0,0.0,7.0,3.0,4.0,8.0,0.0,15.0,68.0,32.0,12.0,0.0,112.0,0.0,2.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,15.0,42.0,25.0,0.0,82.0,0.0,0.0,2.0,0.0,2.0,401.0,70.8
Harrison,Madison,610.0,1.0,2.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,141.0,88.0,42.0,0.0,271.0,1.0,0.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,4.0,1.0,4.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,2.0,3.0,4.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,5.0,77.0,42.0,16.0,0.0,135.0,0.0,1.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,4.0,11.0,4.0,0.0,19.0,1.0,0.0,0.0,0.0,1.0,474.0,77.7
Hull,Madison,4376.0,4.0,3.0,2.0,0.0,9.0,3.0,0.0,6.0,0.0,9.0,215.0,511.0,181.0,0.0,907.0,2.0,1.0,4.0,0.0,7.0,10.0,19.0,2.0,0.0,31.0,3.0,6.0,2.0,0.0,11.0,13.0,7.0,2.0,0.0,22.0,42.0,54.0,34.0,0.0,130.0,13.0,8.0,5.0,0.0,26.0,9.0,7.0,6.0,0.0,22.0,8.0,16.0,9.0,0.0,33.0,17.0,27.0,12.0,0.0,56.0,267.0,496.0,159.0,1.0,923.0,3.0,10.0,5.0,0.0,18.0,8.0,10.0,2.0,0.0,20.0,4.0,1.0,0.0,0.0,5.0,2.0,5.0,4.0,0.0,11.0,7.0,9.0,2.0,0.0,18.0,121.0,318.0,208.0,1.0,648.0,7.0,11.0,5.0,0.0,23.0,2929.0,66.9
Ila,Madison,1746.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,157.0,283.0,80.0,0.0,520.0,2.0,0.0,1.0,0.0,3.0,5.0,6.0,1.0,0.0,12.0,1.0,2.0,0.0,0.0,3.0,5.0,4.0,2.0,0.0,11.0,5.0,3.0,4.0,0.0,12.0,0.0,4.0,1.0,0.0,5.0,4.0,5.0,1.0,0.0,10.0,1.0,2.0,1.0,0.0,4.0,3.0,4.0,8.0,0.0,15.0,123.0,215.0,75.0,0.0,413.0,0.0,1.0,0.0,0.0,1.0,2.0,9.0,1.0,0.0,12.0,3.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,10.0,25.0,50.0,49.0,0.0,124.0,1.0,0.0,1.0,0.0,2.0,1165.0,66.7
Mill,Madison,1646.0,1.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,170.0,341.0,81.0,0.0,592.0,1.0,2.0,0.0,0.0,3.0,5.0,8.0,0.0,0.0,13.0,2.0,0.0,1.0,0.0,3.0,5.0,6.0,2.0,0.0,13.0,7.0,10.0,5.0,0.0,22.0,1.0,0.0,1.0,0.0,2.0,4.0,9.0,1.0,0.0,14.0,2.0,1.0,0.0,0.0,3.0,3.0,13.0,9.0,0.0,25.0,136.0,220.0,49.0,1.0,406.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,3.0,2.0,6.0,0.0,0.0,8.0,16.0,42.0,46.0,0.0,104.0,0.0,1.0,3.0,0.0,4.0,1228.0,74.6
Paoli,Madison,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,52.0,41.0,12.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,45.0,21.0,8.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,10.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,218.0,81.6
Pittman,Madison,1949.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,165.0,259.0,117.0,0.0,541.0,2.0,0.0,0.0,0.0,2.0,5.0,4.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1.0,7.0,4.0,3.0,0.0,14.0,10.0,13.0,5.0,0.0,28.0,2.0,2.0,1.0,0.0,5.0,2.0,4.0,0.0,0.0,6.0,4.0,2.0,4.0,0.0,10.0,3.0,13.0,4.0,0.0,20.0,180.0,275.0,91.0,0.0,546.0,1.0,0.0,2.0,0.0,3.0,5.0,3.0,1.0,0.0,9.0,4.0,0.0,3.0,0.0,7.0,2.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,7.0,42.0,86.0,85.0,0.0,213.0,1.0,0.0,4.0,0.0,5.0,1432.0,73.5
Poca,Madison,1127.0,0.0,3.0,2.0,0.0,5.0,2.0,2.0,1.0,0.0,5.0,149.0,147.0,43.0,0.0,339.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,9.0,2.0,2.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,3.0,9.0,5.0,8.0,0.0,22.0,1.0,4.0,1.0,0.0,6.0,4.0,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,0.0,7.0,108.0,144.0,62.0,0.0,314.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,5.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,5.0,15.0,33.0,31.0,0.0,79.0,0.0,2.0,0.0,0.0,2.0,817.0,72.5
Blowing Cave,Grady,916.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,102.0,152.0,20.0,1.0,275.0,1.0,0.0,1.0,0.0,2.0,5.0,11.0,0.0,0.0,16.0,0.0,1.0,1.0,0.0,2.0,3.0,5.0,1.0,0.0,9.0,3.0,16.0,5.0,0.0,24.0,1.0,8.0,1.0,0.0,10.0,3.0,9.0,3.0,1.0,16.0,1.0,6.0,3.0,0.0,10.0,6.0,4.0,0.0,0.0,10.0,55.0,97.0,20.0,0.0,172.0,3.0,2.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,4.0,7.0,0.0,0.0,11.0,9.0,11.0,13.0,4.0,37.0,1.0,3.0,0.0,0.0,4.0,611.0,66.7
Cairo 4th District,Grady,2532.0,1.0,2.0,5.0,0.0,8.0,1.0,1.0,5.0,1.0,8.0,24.0,86.0,38.0,0.0,148.0,0.0,3.0,0.0,0.0,3.0,6.0,8.0,0.0,0.0,14.0,0.0,6.0,0.0,0.0,6.0,2.0,4.0,5.0,0.0,11.0,62.0,197.0,64.0,1.0,324.0,9.0,62.0,28.0,0.0,99.0,0.0,5.0,3.0,0.0,8.0,30.0,67.0,29.0,0.0,126.0,11.0,39.0,15.0,0.0,65.0,12.0,69.0,35.0,0.0,116.0,7.0,21.0,7.0,0.0,35.0,1.0,3.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,2.0,0.0,8.0,4.0,0.0,12.0,3.0,7.0,0.0,0.0,10.0,65.0,278.0,172.0,1.0,516.0,3.0,10.0,9.0,0.0,22.0,1537.0,60.7
Cairo 5th District,Grady,2606.0,2.0,3.0,1.0,0.0,6.0,2.0,4.0,1.0,0.0,7.0,76.0,302.0,97.0,0.0,475.0,0.0,0.0,2.0,0.0,2.0,8.0,21.0,7.0,0.0,36.0,3.0,2.0,2.0,0.0,7.0,6.0,16.0,5.0,0.0,27.0,27.0,117.0,51.0,1.0,196.0,10.0,31.0,6.0,0.0,47.0,4.0,6.0,1.0,0.0,11.0,13.0,44.0,10.0,0.0,67.0,6.0,40.0,16.0,0.0,62.0,47.0,268.0,71.0,1.0,387.0,8.0,13.0,2.0,0.0,23.0,2.0,3.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,2.0,0.0,8.0,3.0,20.0,1.0,0.0,24.0,50.0,144.0,79.0,2.0,275.0,3.0,7.0,3.0,0.0,13.0,1680.0,64.5
Duncanville,Grady,470.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,28.0,58.0,17.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,4.0,13.0,19.0,0.0,36.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,4.0,1.0,2.0,1.0,0.0,4.0,2.0,4.0,3.0,0.0,9.0,36.0,51.0,18.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,3.0,0.0,0.0,8.0,5.0,28.0,29.0,0.0,62.0,0.0,1.0,0.0,0.0,1.0,351.0,74.7
Higdon,Grady,854.0,2.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,71.0,80.0,44.0,0.0,195.0,2.0,3.0,1.0,0.0,6.0,5.0,2.0,4.0,0.0,11.0,1.0,1.0,1.0,0.0,3.0,4.0,2.0,0.0,0.0,6.0,16.0,18.0,10.0,0.0,44.0,3.0,1.0,6.0,0.0,10.0,2.0,2.0,0.0,0.0,4.0,8.0,4.0,6.0,0.0,18.0,6.0,6.0,6.0,0.0,18.0,82.0,63.0,34.0,0.0,179.0,3.0,3.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,6.0,6.0,0.0,0.0,12.0,13.0,22.0,35.0,0.0,70.0,2.0,2.0,1.0,0.0,5.0,598.0,70.0
Limesink,Grady,320.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,73.0,17.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,3.0,6.0,0.0,10.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,5.0,0.0,2.0,2.0,0.0,4.0,19.0,34.0,3.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,11.0,11.0,0.0,23.0,1.0,0.0,0.0,0.0,1.0,240.0,75.0
Midway,Grady,1412.0,0.0,1.0,3.0,0.0,4.0,1.0,2.0,0.0,0.0,3.0,86.0,206.0,75.0,0.0,367.0,1.0,0.0,1.0,0.0,2.0,5.0,20.0,3.0,1.0,29.0,1.0,3.0,2.0,0.0,6.0,10.0,9.0,2.0,0.0,21.0,3.0,31.0,9.0,0.0,43.0,2.0,9.0,2.0,0.0,13.0,2.0,8.0,1.0,0.0,11.0,3.0,8.0,2.0,0.0,13.0,5.0,9.0,8.0,0.0,22.0,86.0,167.0,48.0,1.0,302.0,1.0,4.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,1.0,0.0,15.0,15.0,37.0,46.0,0.0,98.0,2.0,1.0,3.0,0.0,6.0,968.0,68.6
Pine Park,Grady,1003.0,0.0,3.0,1.0,0.0,4.0,2.0,4.0,1.0,0.0,7.0,66.0,120.0,28.0,1.0,215.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,5.0,1.0,20.0,2.0,0.0,1.0,0.0,3.0,6.0,10.0,0.0,0.0,16.0,18.0,35.0,9.0,0.0,62.0,8.0,6.0,6.0,0.0,20.0,6.0,8.0,1.0,0.0,15.0,5.0,9.0,7.0,0.0,21.0,3.0,13.0,3.0,0.0,19.0,65.0,76.0,24.0,0.0,165.0,1.0,2.0,0.0,0.0,3.0,4.0,1.0,1.0,0.0,6.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,4.0,9.0,0.0,0.0,13.0,16.0,33.0,18.0,0.0,67.0,0.0,2.0,1.0,0.0,3.0,662.0,66.0
Ragan,Grady,475.0,1.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,47.0,54.0,18.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,6.0,2.0,12.0,7.0,0.0,21.0,0.0,1.0,1.0,0.0,2.0,3.0,5.0,0.0,0.0,8.0,0.0,8.0,2.0,0.0,10.0,3.0,3.0,3.0,0.0,9.0,48.0,43.0,23.0,0.0,114.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,3.0,6.0,20.0,17.0,0.0,43.0,1.0,0.0,3.0,0.0,4.0,356.0,74.9
Spence,Grady,758.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,103.0,90.0,36.0,0.0,229.0,0.0,1.0,0.0,0.0,1.0,8.0,3.0,2.0,0.0,13.0,0.0,1.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,8.0,3.0,9.0,3.0,0.0,15.0,0.0,1.0,0.0,0.0,1.0,2.0,7.0,0.0,0.0,9.0,3.0,1.0,1.0,0.0,5.0,5.0,3.0,4.0,0.0,12.0,84.0,76.0,27.0,0.0,187.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,7.0,5.0,3.0,14.0,0.0,22.0,0.0,0.0,1.0,0.0,1.0,520.0,68.6
