Precinct,County,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
RW21,Fulton,3362,89,1032,289,10,1420,77,690,409,10,1186,5,23,11,2,41,2647,
RW22A,Fulton,4788,143,726,221,10,1100,200,1309,524,7,2040,5,33,12,0,50,3190,
SC01A,Fulton,41,0,3,0,0,3,2,41,7,0,50,0,0,0,0,0,53,
SC01B,Fulton,2088,11,26,11,1,49,115,1129,296,17,1557,2,2,3,0,7,1613,
SC01C,Fulton,2249,5,34,19,2,60,83,1051,456,9,1599,1,7,2,1,11,1670,
SC02,Fulton,1426,1,26,6,0,33,40,715,274,2,1031,1,3,1,0,5,1069,
SC04,Fulton,1080,60,107,40,1,208,62,315,144,6,527,1,5,1,0,7,742,
SC05A,Fulton,721,4,9,3,0,16,53,312,87,6,458,2,1,0,0,3,477,
SC05B,Fulton,3646,15,53,24,1,93,175,1763,498,7,2443,1,11,4,0,16,2552,
SC05D,Fulton,2808,12,51,17,0,80,176,1287,364,2,1829,3,5,1,0,9,1918,
SC05E,Fulton,688,10,34,30,0,74,36,241,119,3,399,0,3,0,0,3,476,
SC07A,Fulton,4506,48,224,93,0,365,218,1784,1015,11,3028,1,10,15,0,26,3419,
SC07C,Fulton,41,0,0,1,0,1,1,8,2,0,11,0,1,0,0,1,13,
SC07D,Fulton,2038,8,33,7,0,48,130,839,87,4,1060,4,6,0,0,10,1118,
SC08B,Fulton,4096,29,53,40,2,124,250,1537,641,14,2442,8,8,3,1,20,2586,
SC08C,Fulton,91,0,0,0,0,0,6,47,18,0,71,0,0,0,0,0,71,
SC08D,Fulton,605,0,7,4,0,11,38,229,78,0,345,2,3,0,0,5,361,
SC08E,Fulton,724,3,13,1,0,17,53,291,65,4,413,4,5,0,0,9,439,
SC08F,Fulton,793,8,5,1,0,14,36,283,100,1,420,0,4,0,0,4,438,
SC08G,Fulton,14,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,
SC08H,Fulton,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SC09A,Fulton,1865,5,30,11,0,46,179,525,227,12,943,3,5,1,0,9,998,
SC09B,Fulton,1920,15,21,9,1,46,111,720,368,3,1202,6,4,1,0,11,1259,
SC09C,Fulton,1852,22,20,11,1,54,165,535,297,1,998,8,3,1,0,12,1064,
SC10,Fulton,1912,19,16,12,2,49,144,430,186,8,768,1,3,1,0,5,822,
SC11A,Fulton,1656,10,21,10,3,44,140,537,262,21,960,1,2,2,0,5,1009,
SC11B,Fulton,1691,13,29,9,0,51,109,530,314,6,959,1,4,3,0,8,1018,
SC13,Fulton,2895,21,77,15,2,115,157,1321,421,5,1904,3,5,3,0,11,2030,
SC14A,Fulton,1030,8,23,1,0,32,60,310,104,0,474,1,4,1,0,6,512,
SC15,Fulton,4522,28,92,56,0,176,251,1976,817,5,3049,6,6,6,0,18,3243,
SC15A,Fulton,2482,11,27,2,0,40,133,1300,113,0,1546,1,2,0,0,3,1589,
SC16A,Fulton,5175,31,54,23,0,108,273,2446,881,0,3600,4,10,3,0,17,3725,
SC17A,Fulton,60,0,0,1,0,1,1,32,10,0,43,0,0,0,0,0,44,
SC17B,Fulton,10,0,1,0,0,1,0,1,0,3,4,0,0,0,0,0,5,
SC17C,Fulton,1293,12,24,9,0,45,61,486,185,0,732,1,4,3,0,8,785,
SC18A,Fulton,570,4,8,1,0,13,39,220,121,0,380,0,2,1,0,3,396,
SC18B,Fulton,915,2,13,9,0,24,41,456,157,0,654,0,3,0,0,3,681,
SC18C,Fulton,2100,9,41,22,0,72,74,1007,426,0,1507,3,1,1,0,5,1584,
SC19A,Fulton,213,1,2,4,0,7,4,86,43,1,134,0,1,0,0,1,142,
SC19B,Fulton,1628,8,16,13,0,37,131,429,217,9,786,3,3,2,0,8,831,
SC20,Fulton,2562,5,38,8,4,55,106,1464,368,26,1964,3,9,1,1,14,2033,
SC211,Fulton,1828,8,39,15,0,62,98,820,294,0,1212,2,1,6,0,9,1283,
SC212,Fulton,4244,25,98,52,1,176,246,1688,594,9,2537,6,20,5,1,32,2745,
SC23A,Fulton,3854,27,41,21,1,90,324,1119,632,10,2085,3,7,7,0,17,2192,
SC23B,Fulton,557,5,6,11,0,22,52,169,111,2,334,0,1,1,0,2,358,
SC23C,Fulton,2606,19,37,12,0,68,198,866,401,2,1467,2,3,2,0,7,1542,
SC27,Fulton,2361,15,28,19,0,62,148,724,470,0,1342,1,5,4,0,10,1414,
SC29A,Fulton,3154,17,45,12,0,74,266,946,555,9,1776,5,6,5,0,16,1866,
SC30A,Fulton,157,1,4,0,2,7,3,42,62,7,114,1,0,0,0,1,122,
SC30B,Fulton,1110,7,11,4,0,22,53,366,156,0,575,3,2,1,0,6,603,
SS01,Fulton,4846,235,1310,491,2,2038,71,933,799,4,1807,6,22,23,0,51,3896,
SS02A,Fulton,1206,28,214,89,0,331,32,320,207,5,564,7,7,6,0,20,915,
SS02B,Fulton,1318,34,145,49,3,231,44,429,207,4,684,2,7,5,0,14,929,
SS03,Fulton,1577,68,306,96,3,473,47,440,253,1,741,6,7,7,0,20,1234,
SS04,Fulton,3763,134,536,216,9,895,150,1053,584,12,1799,5,17,13,1,36,2730,
SS05,Fulton,1853,93,431,164,4,692,38,484,341,1,864,5,11,8,0,24,1580,
SS06,Fulton,1667,51,401,147,26,625,38,413,288,37,776,2,7,7,0,16,1417,
SS07A,Fulton,1254,30,268,172,1,471,21,297,209,0,527,2,5,1,0,8,1006,
SS07B,Fulton,793,20,117,58,0,195,35,212,122,1,370,1,3,0,0,4,569,
SS07C,Fulton,809,16,128,81,5,230,16,120,151,12,299,4,3,3,0,10,539,
SS08A,Fulton,1891,85,223,64,9,381,99,582,222,8,911,5,13,7,1,26,1318,
SS08B,Fulton,696,16,168,68,0,252,17,159,132,0,308,0,2,1,0,3,563,
SS08C,Fulton,716,22,93,37,0,152,18,199,128,0,345,1,4,2,0,7,504,
SS08D,Fulton,1555,45,191,74,0,310,56,430,231,0,717,3,10,3,0,16,1043,
SS09A,Fulton,3193,167,756,350,0,1273,65,637,598,0,1300,5,15,14,0,34,2607,
SS09B,Fulton,3611,121,928,347,3,1399,57,844,642,2,1545,3,13,9,0,25,2969,
SS11A,Fulton,4026,138,563,230,5,936,204,1040,533,8,1785,13,27,7,0,47,2768,
SS11B,Fulton,1412,34,158,43,0,235,88,366,200,1,655,3,5,2,0,10,900,
SS11C,Fulton,361,6,22,5,0,33,28,104,28,1,161,0,4,1,0,5,199,
SS11D,Fulton,397,21,94,30,0,145,6,93,73,0,172,0,4,4,0,8,325,
SS12,Fulton,2897,116,565,256,5,942,76,716,504,6,1302,7,7,6,0,20,2264,
SS13A,Fulton,2103,90,432,128,3,653,85,493,274,3,855,1,15,6,0,22,1530,
SS13B,Fulton,1278,43,271,54,0,368,51,347,142,1,541,4,7,3,0,14,923,
SS14,Fulton,1412,77,457,130,1,665,19,285,196,0,500,3,3,6,0,12,1177,
SS15A,Fulton,2756,66,134,37,1,238,211,786,272,4,1273,4,9,4,1,18,1529,
SS15B,Fulton,1730,86,198,60,0,344,122,448,185,1,756,9,11,5,1,26,1126,
SS16,Fulton,2116,93,532,204,4,833,29,453,420,3,905,6,12,14,0,32,1770,
SS17,Fulton,3686,191,757,299,6,1253,155,801,506,9,1471,3,11,10,0,24,2748,
SS18A,Fulton,657,37,151,59,0,247,14,160,123,0,297,1,4,2,0,7,551,
SS18B,Fulton,241,13,61,24,1,99,2,55,42,1,100,0,0,1,0,1,200,
SS19A,Fulton,3299,60,335,92,7,494,149,981,393,7,1530,9,19,11,1,40,2064,
SS19B,Fulton,2342,49,278,84,32,443,93,735,317,77,1222,4,13,9,2,28,1693,
SS20,Fulton,2404,63,295,87,4,449,128,586,336,9,1059,4,8,11,0,23,1531,
SS22,Fulton,2834,101,374,214,2,691,121,547,410,4,1082,3,11,5,0,19,1792,
SS26,Fulton,3824,51,254,73,4,382,223,1183,375,10,1791,9,25,3,4,41,2214,
SS29A,Fulton,2842,127,418,179,5,729,96,788,430,2,1316,6,15,4,0,25,2070,
SS31,Fulton,1703,50,336,118,0,504,49,434,294,0,777,2,9,7,0,18,1299,
UC01A,Fulton,4234,33,66,19,2,120,306,1194,347,12,1859,4,12,2,0,18,1997,
UC01B,Fulton,428,4,7,0,2,13,42,139,31,4,216,2,0,0,0,2,231,
UC01D,Fulton,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
UC01E,Fulton,512,4,9,6,0,19,40,265,69,0,374,1,1,0,0,2,395,
UC02A,Fulton,5609,34,88,56,3,181,303,2177,1151,17,3648,6,9,5,0,20,3849,
UC02B,Fulton,32,1,4,0,0,5,2,10,3,0,15,0,0,0,0,0,20,
UC02C,Fulton,3614,21,80,18,0,119,135,1220,126,12,1493,5,6,3,3,17,1629,
UC031,Fulton,2745,29,98,135,3,265,150,635,413,25,1223,1,9,7,0,17,1505,
UC032,Fulton,393,6,15,16,0,37,18,132,79,1,230,2,1,0,0,3,270,
