Precinct,County,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
RW22A,Fulton,4788,136,757,252,8,1153,175,1173,448,8,1804,25,100,25,1,151,3108,
SC01A,Fulton,41,0,3,0,0,3,2,37,6,0,45,0,3,1,0,4,52,
SC01B,Fulton,2088,11,29,7,3,50,109,1096,289,14,1508,9,24,11,1,45,1603,
SC01C,Fulton,2249,5,32,19,2,58,78,1023,450,8,1559,4,20,4,0,28,1645,
SC02,Fulton,1426,1,25,9,0,35,40,700,260,3,1003,1,14,4,0,19,1057,
SC04,Fulton,1080,53,102,44,1,200,57,305,134,4,500,7,17,2,2,28,728,
SC05A,Fulton,721,2,5,4,0,11,52,304,85,5,446,2,12,1,0,15,472,
SC05B,Fulton,3646,13,51,27,0,91,169,1717,475,6,2367,8,35,15,1,59,2517,
SC05D,Fulton,2808,10,46,15,0,71,178,1265,351,2,1796,5,18,9,0,32,1899,
SC05E,Fulton,688,7,33,32,0,72,35,239,111,3,388,4,9,4,0,17,477,
SC07A,Fulton,4506,39,216,98,1,354,210,1730,988,9,2937,18,51,23,1,93,3384,
SC07C,Fulton,41,0,0,2,0,2,1,8,1,0,10,0,1,0,0,1,13,
SC07D,Fulton,2038,14,31,8,0,53,119,820,83,3,1025,8,24,2,1,35,1113,
SC08B,Fulton,4096,22,42,31,1,96,240,1462,625,14,2341,25,57,13,0,95,2532,
SC08C,Fulton,91,0,0,0,0,0,6,46,17,0,69,0,0,0,0,0,69,
SC08D,Fulton,605,2,4,2,0,8,35,221,78,0,334,2,8,1,0,11,353,
SC08E,Fulton,724,1,6,2,0,9,54,285,63,2,404,3,16,0,2,21,434,
SC08F,Fulton,793,4,8,1,0,13,36,272,95,0,403,4,9,4,1,18,434,
SC08G,Fulton,14,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,
SC08H,Fulton,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SC09A,Fulton,1865,4,23,10,0,37,167,497,222,10,896,13,21,6,1,41,974,
SC09B,Fulton,1920,12,23,14,0,49,112,690,352,2,1156,7,20,7,0,34,1239,
SC09C,Fulton,1852,12,24,10,1,47,162,510,284,1,957,16,13,5,0,34,1038,
SC10,Fulton,1912,7,14,7,1,29,146,402,180,7,735,9,15,6,1,31,795,
SC11A,Fulton,1656,9,21,9,1,40,137,509,253,23,922,4,19,7,0,30,992,
SC11B,Fulton,1691,12,22,10,0,44,100,508,302,6,916,4,18,9,0,31,991,
SC13,Fulton,2895,18,65,20,0,103,149,1284,404,4,1841,11,40,13,2,66,2010,
SC14A,Fulton,1030,2,15,2,0,19,63,306,99,0,468,4,9,3,0,16,503,
SC15,Fulton,4522,20,93,56,0,169,246,1907,787,6,2946,20,64,17,0,101,3216,
SC15A,Fulton,2482,10,26,5,0,41,127,1270,103,0,1500,2,25,4,0,31,1572,
SC16A,Fulton,5175,20,51,15,0,86,264,2384,860,0,3508,14,54,17,0,85,3679,
SC17A,Fulton,60,0,0,2,0,2,1,30,8,0,39,0,2,1,0,3,44,
SC17B,Fulton,10,0,1,0,0,1,0,1,0,3,4,0,0,0,0,0,5,
SC17C,Fulton,1293,9,22,4,0,35,63,471,184,0,718,5,15,7,0,27,780,
SC18A,Fulton,570,3,12,2,0,17,39,210,119,0,368,1,4,1,0,6,391,
SC18B,Fulton,915,1,14,6,0,21,37,442,158,0,637,3,13,2,0,18,676,
SC18C,Fulton,2100,7,43,16,0,66,69,975,416,0,1460,5,16,1,0,22,1548,
SC19A,Fulton,213,2,1,4,0,7,3,88,43,1,135,1,0,0,0,1,143,
SC19B,Fulton,1628,4,16,15,0,35,131,412,209,8,760,8,17,1,1,27,822,
SC20,Fulton,2562,7,49,7,3,66,101,1422,360,22,1905,4,31,5,3,43,2014,
SC211,Fulton,1828,7,35,13,0,55,97,802,289,0,1188,4,13,8,0,25,1268,
SC212,Fulton,4244,14,78,44,2,138,245,1642,585,10,2482,15,60,13,0,88,2708,
SC23A,Fulton,3854,27,27,17,0,71,311,1092,622,10,2035,14,30,15,1,60,2166,
SC23B,Fulton,557,3,7,11,0,21,51,158,106,2,317,2,7,2,0,11,349,
SC23C,Fulton,2606,13,31,10,0,54,196,846,389,2,1433,11,21,8,0,40,1527,
SC27,Fulton,2361,9,23,16,0,48,139,700,454,0,1293,10,19,11,0,40,1381,
SC29A,Fulton,3154,17,42,14,0,73,253,895,532,8,1688,12,34,12,1,59,1820,
SC30A,Fulton,157,1,1,1,0,3,3,45,57,7,112,1,0,0,2,3,118,
SC30B,Fulton,1110,5,12,5,0,22,55,341,145,0,541,2,16,7,0,25,588,
SS01,Fulton,4846,236,1373,574,1,2184,49,782,658,3,1492,18,64,41,1,124,3800,
SS02A,Fulton,1206,31,224,105,1,361,25,287,180,4,496,8,24,12,0,44,901,
SS02B,Fulton,1318,30,149,57,2,238,40,385,167,4,596,7,30,18,0,55,889,
SS03,Fulton,1577,74,333,111,3,521,31,379,220,1,631,14,31,10,0,55,1207,
SS04,Fulton,3763,142,542,236,8,928,114,955,517,12,1598,30,70,31,2,133,2659,
SS05,Fulton,1853,95,472,202,3,772,25,408,279,1,713,13,38,15,0,66,1551,
SS06,Fulton,1667,56,429,176,27,688,21,328,242,32,623,10,36,18,4,68,1379,
SS07A,Fulton,1254,31,289,196,1,517,12,255,152,0,419,5,9,17,0,31,967,
SS07B,Fulton,793,23,133,69,0,225,30,180,101,1,312,1,14,7,0,22,559,
SS07C,Fulton,809,15,139,83,5,242,13,98,131,11,253,5,9,7,1,22,517,
SS08A,Fulton,1891,85,228,69,8,390,90,538,192,7,827,12,29,15,1,57,1274,
SS08B,Fulton,696,18,173,82,0,273,12,135,104,0,251,2,12,6,0,20,544,
SS08C,Fulton,716,23,95,42,0,160,13,183,114,0,310,3,9,4,0,16,486,
SS08D,Fulton,1555,44,212,87,0,343,56,379,198,0,633,5,24,12,0,41,1017,
SS09A,Fulton,3193,170,826,436,0,1432,44,526,475,0,1045,18,37,28,0,83,2560,
SS09B,Fulton,3611,127,1027,423,4,1581,43,671,510,1,1225,6,53,27,0,86,2892,
SS11A,Fulton,4026,144,597,276,3,1020,180,943,449,9,1581,27,70,26,0,123,2724,
SS11B,Fulton,1412,34,161,48,0,243,80,330,181,1,592,6,26,10,0,42,877,
SS11C,Fulton,361,5,23,6,0,34,27,100,22,1,150,0,6,4,0,10,194,
SS11D,Fulton,397,21,100,39,0,160,5,81,58,0,144,1,8,3,0,12,316,
SS12,Fulton,2897,122,630,330,4,1086,56,601,383,6,1046,18,34,24,1,77,2209,
SS13A,Fulton,2103,85,459,150,1,695,69,425,224,3,721,10,37,23,0,70,1486,
SS13B,Fulton,1278,44,294,61,0,399,44,310,119,1,474,7,16,11,0,34,907,
SS14,Fulton,1412,86,497,166,1,750,7,221,147,0,375,7,15,9,0,31,1156,
SS15A,Fulton,2756,60,137,40,1,238,191,728,251,4,1174,23,42,13,1,79,1491,
SS15B,Fulton,1730,87,201,68,0,356,105,409,166,2,682,22,36,12,0,70,1108,
SS16,Fulton,2116,94,585,259,3,941,25,357,326,1,709,7,39,20,1,67,1717,
SS17,Fulton,3686,191,779,336,6,1312,124,703,434,8,1269,22,50,26,1,99,2680,
SS18A,Fulton,657,40,162,71,0,273,9,136,105,0,250,3,7,4,0,14,537,
SS18B,Fulton,241,14,59,19,1,93,2,48,41,0,91,0,2,4,1,7,191,
SS19A,Fulton,3299,58,351,111,6,526,126,889,350,8,1373,27,65,18,0,110,2009,
SS19B,Fulton,2342,49,290,109,33,481,80,665,270,61,1076,10,52,14,9,85,1642,
SS20,Fulton,2404,61,299,113,4,477,119,535,293,7,954,12,35,19,1,67,1498,
SS22,Fulton,2834,99,376,225,0,700,104,495,345,2,946,13,40,24,1,78,1724,
SS26,Fulton,3824,47,244,80,4,375,205,1097,337,9,1648,23,79,28,5,135,2158,
SS29A,Fulton,2842,129,450,222,5,806,71,685,368,2,1126,21,59,16,0,96,2028,
SS31,Fulton,1703,47,337,145,0,529,38,391,247,0,676,10,32,16,0,58,1263,
UC01A,Fulton,4234,18,58,19,0,95,301,1153,337,12,1803,22,44,4,0,70,1968,
UC01B,Fulton,428,2,5,0,2,9,35,130,29,3,197,2,8,1,1,12,218,
UC01D,Fulton,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
UC01E,Fulton,512,2,10,5,0,17,38,258,69,0,365,3,4,0,0,7,389,
UC02A,Fulton,5609,22,76,40,1,139,292,2089,1133,16,3530,24,65,20,1,110,3779,
UC02B,Fulton,32,0,4,0,0,4,2,9,2,0,13,1,1,0,0,2,19,
UC02C,Fulton,3614,15,76,15,0,106,125,1167,124,14,1430,13,35,4,1,53,1589,
UC031,Fulton,2745,22,90,121,3,236,144,617,396,24,1181,7,18,19,1,45,1462,
UC032,Fulton,393,6,14,17,0,37,18,122,75,1,216,1,10,0,0,11,264,
