county,precinct_name,precinct_id,SHP20_PRECINCT_I,SHP20_PRECINCT_N,SHP20_PRECINCT_I_CLEAN,SHP20_PRECINCT_N_CLEAN,NOV20_Precinct,NOV20_Precinct_CLEAN,NOV20_Precinct ID_CLEAN,NOV18_PRECINCT ID,NOV18_PRECINCT DESCRIPTION,NOV18_PRECINCT ID_CLEAN,NOV18_PRECINCT DESCRIPTION_CLEAN,SHP18_prec_shp,SHP18_prec_elec,SHP18_prec_shp_CLEAN,SHP18_prec_elec_CLEAN,SHP16_PRECINCT_I,SHP16_PRECINCT_N,SHP16_PRECINCT_I_CLEAN,SHP16_PRECINCT_N_CLEAN
Fulton,,AP07A,AP07A,AP07A,ap07a,ap07a,AP07A,ap07a,,AP07A,AP07A,ap07a,ap07a,AP07A,AP07A,ap07a,ap07a,AP07A,AP07A,ap07a,ap07a
Fulton,Sc16a,SC16,SC16A,SC16A,sc16a,sc16a,SC16A,sc16a,,SC16A,SC16A,sc16a,sc16a,SC16A,SC16A,sc16a,sc16a,SC16,SC16,sc16,sc16
Fulton,,SC01B,SC01B,SC01B,sc01b,sc01b,SC01B,sc01b,,SC01B,SC01B,sc01b,sc01b,SC01B,SC01B,sc01b,sc01b,SC01B,SC01B,sc01b,sc01b
Fulton,,SC05D,SC05D,SC05D,sc05d,sc05d,SC05D,sc05d,,SC05D,SC05D,sc05d,sc05d,SC05D,SC05D,sc05d,sc05d,SC05D,SC05D,sc05d,sc05d
Fulton,,SC09A,SC09A,SC09A,sc09a,sc09a,SC09A,sc09a,,SC09A,SC09A,sc09a,sc09a,SC09A,SC09A,sc09a,sc09a,SC09A,SC09A,sc09a,sc09a
Fulton,,SC18B,SC18B,SC18B,sc18b,sc18b,SC18B,sc18b,,SC18B,SC18B,sc18b,sc18b,SC18B,SC18B,sc18b,sc18b,SC18B,SC18B,sc18b,sc18b
Fulton,,SC08G,SC08G,SC08G,sc08g,sc08g,SC08G,sc08g,,SC08G,SC08G,sc08g,sc08g,SC08G,SC08G,sc08g,sc08g,SC08G,SC08G,sc08g,sc08g
Fulton,,AP01A,AP01A,AP01A,ap01a,ap01a,AP01A,ap01a,,AP01A,AP01A,ap01a,ap01a,AP01A,AP01A,ap01a,ap01a,AP01A,AP01A,ap01a,ap01a
Fulton,Cp04a,CP04,CP04A,CP04A,cp04a,cp04a,CP04A,cp04a,,CP04A,CP04A,cp04a,cp04a,CP04A,CP04A,cp04a,cp04a,CP04,CP04,cp04,cp04
Fulton,,CP012,CP012,CP012,cp012,cp012,CP012,cp012,,CP012,CP012,cp012,cp012,CP012,CP012,cp012,cp012,CP012,CP012,cp012,cp012
Fulton,Ep03b,EP03,EP03B,EP03B,ep03b,ep03b,EP03B,ep03b,,EP03B,EP03B,ep03b,ep03b,EP03B,EP03B,ep03b,ep03b,EP03,EP03,ep03,ep03
Fulton,Ep01b,EP01,EP01B,EP01B,ep01b,ep01b,EP01B,ep01b,,EP01B,EP01B,ep01b,ep01b,EP01B,EP01B,ep01b,ep01b,EP01,EP01,ep01,ep01
Fulton,Ep02b,EP02,EP02B,EP02B,ep02b,ep02b,EP02B,ep02b,,EP02B,EP02B,ep02b,ep02b,EP02B,EP02B,ep02b,ep02b,EP02,EP02,ep02,ep02
Fulton,,SC30B,SC30B,SC30B,sc30b,sc30b,SC30B,sc30b,,SC30B,SC30B,sc30b,sc30b,SC30B,SC30B,sc30b,sc30b,SC30B,SC30B,sc30b,sc30b
Fulton,,SC19B,SC19B,SC19B,sc19b,sc19b,SC19B,sc19b,,SC19B,SC19B,sc19b,sc19b,SC19B,SC19B,sc19b,sc19b,SC19B,SC19B,sc19b,sc19b
Fulton,,01E,01E,01E,01e,01e,01E,01e,,01E,01E,01e,01e,01E,01E,01e,01e,01E,01E,01e,01e
Fulton,,SC04,SC04,SC04,sc04,sc04,SC04,sc04,,SC04,SC04,sc04,sc04,SC04,SC04,sc04,sc04,SC04,SC04,sc04,sc04
Fulton,12h2,12H,12H2,12H2,12h2,12h2,12H2,12h2,,12H2,12H2,12h2,12h2,12H2,12H2,12h2,12h2,12H,12H,12h,12h
Fulton,,10B,10B,10B,10b,10b,10B,10b,,10B,10B,10b,10b,10B,10B,10b,10b,10B,10B,10b,10b
Fulton,,JC18,JC18,JC18,jc18,jc18,JC18,jc18,,JC18,JC18,jc18,jc18,JC18,JC18,jc18,jc18,JC18,JC18,jc18,jc18
Fulton,,RW19,RW19,RW19,rw19,rw19,RW19,rw19,,RW19,RW19,rw19,rw19,RW19,RW19,rw19,rw19,RW19,RW19,rw19,rw19
Fulton,,SC08B,SC08B,SC08B,sc08b,sc08b,SC08B,sc08b,,SC08B,SC08B,sc08b,sc08b,SC08B,SC08B,sc08b,sc08b,SC08B,SC08B,sc08b,sc08b
Fulton,,SC17C,SC17C,SC17C,sc17c,sc17c,SC17C,sc17c,,SC17C,SC17C,sc17c,sc17c,SC17C,SC17C,sc17c,sc17c,SC17C,SC17C,sc17c,sc17c
Fulton,,11C,11C,11C,11c,11c,11C,11c,,11C,11C,11c,11c,11C,11C,11c,11c,11C,11C,11c,11c
Fulton,,ML01B,ML01B,ML01B,ml01b,ml01b,ML01B,ml01b,,ML01B,ML01B,ml01b,ml01b,ML01B,ML01B,ml01b,ml01b,ML01B,ML01B,ml01b,ml01b
Fulton,,MP01,MP01,MP01,mp01,mp01,MP01,mp01,,MD01,,md01,,MP01,MP01,mp01,mp01,MP01,MP01,mp01,mp01
Fulton,,RW09,RW09,RW09,rw09,rw09,RW09,rw09,,RW09,RW09,rw09,rw09,RW09,RW09,rw09,rw09,RW09,RW09,rw09,rw09
Fulton,,RW01,RW01,RW01,rw01,rw01,RW01,rw01,,RW01,RW01,rw01,rw01,RW01,RW01,rw01,rw01,RW01,RW01,rw01,rw01
Fulton,,RW11A,RW11A,RW11A,rw11a,rw11a,RW11A,rw11a,,RW11A,RW11A,rw11a,rw11a,RW11A,RW11A,rw11a,rw11a,RW11A,RW11A,rw11a,rw11a
Fulton,,RW02,RW02,RW02,rw02,rw02,RW02,rw02,,RW02,RW02,rw02,rw02,RW02,RW02,rw02,rw02,RW02,RW02,rw02,rw02
Fulton,,SS18A,SS18A,SS18A,ss18a,ss18a,SS18A,ss18a,,SS18A,SS18A,ss18a,ss18a,SS18A,SS18A,ss18a,ss18a,SS18A,SS18A,ss18a,ss18a
Fulton,,SS18B,SS18B,SS18B,ss18b,ss18b,SS18B,ss18b,,SS18B,SS18B,ss18b,ss18b,SS18B,SS18B,ss18b,ss18b,SS18B,SS18B,ss18b,ss18b
Fulton,,SS19A,SS19A,SS19A,ss19a,ss19a,SS19A,ss19a,,SS19A,SS19A,ss19a,ss19a,SS19A,SS19A,ss19a,ss19a,SS19A,SS19A,ss19a,ss19a
Fulton,,SS22,SS22,SS22,ss22,ss22,SS22,ss22,,SS22,SS22,ss22,ss22,SS22,SS22,ss22,ss22,SS22,SS22,ss22,ss22
Fulton,,SS19B,SS19B,SS19B,ss19b,ss19b,SS19B,ss19b,,SS19B,SS19B,ss19b,ss19b,SS19B,SS19B,ss19b,ss19b,SS19B,SS19B,ss19b,ss19b
Fulton,,SS09A,SS09A,SS09A,ss09a,ss09a,SS09A,ss09a,,SS09A,SS09A,ss09a,ss09a,SS09A,SS09A,ss09a,ss09a,SS09A,SS09A,ss09a,ss09a
Fulton,,SS16,SS16,SS16,ss16,ss16,SS16,ss16,,SS16,SS16,ss16,ss16,SS16,SS16,ss16,ss16,SS16,SS16,ss16,ss16
Fulton,,08A,08A,08A,08a,08a,08A,08a,,08A,08A,08a,08a,08A,08A,08a,08a,08A,08A,08a,08a
Fulton,,08E,08E,08E,08e,08e,08E,08e,,08E,08E,08e,08e,08E,08E,08e,08e,08E,08E,08e,08e
Fulton,,09A,09A,09A,09a,09a,09A,09a,,09A,09A,09a,09a,09A,09A,09a,09a,09A,09A,09a,09a
Fulton,,09M,09M,09M,09m,09m,09M,09m,,09M,09M,09m,09m,09M,09M,09m,09m,09M,09M,09m,09m
Fulton,,CP08A,CP08A,CP08A,cp08a,cp08a,CP08A,cp08a,,CP08A,CP08A,cp08a,cp08a,CP08A,CP08A,cp08a,cp08a,CP08A,CP08A,cp08a,cp08a
Fulton,,SC27,SC27,SC27,sc27,sc27,SC27,sc27,,SC27,SC27,sc27,sc27,SC27,SC27,sc27,sc27,SC27,SC27,sc27,sc27
Fulton,,CP06A,CP06A,CP06A,cp06a,cp06a,CP06A,cp06a,,CP06A,CP06A,cp06a,cp06a,CP06A,CP06A,cp06a,cp06a,CP06A,CP06A,cp06a,cp06a
Fulton,,JC06,JC06,JC06,jc06,jc06,JC06,jc06,,JC06,JC06,jc06,jc06,JC06,JC06,jc06,jc06,JC06,JC06,jc06,jc06
Fulton,,JC13A,JC13A,JC13A,jc13a,jc13a,JC13A,jc13a,,JC13A,JC13A,jc13a,jc13a,JC13A,JC13A,jc13a,jc13a,JC13A,JC13A,jc13a,jc13a
Fulton,,JC13B,JC13B,JC13B,jc13b,jc13b,JC13B,jc13b,,JC13B,JC13B,jc13b,jc13b,JC13B,JC13B,jc13b,jc13b,JC13B,JC13B,jc13b,jc13b
Fulton,,JC01,JC01,JC01,jc01,jc01,JC01,jc01,,JC01,JC01,jc01,jc01,JC01,JC01,jc01,jc01,JC01,JC01,jc01,jc01
Fulton,,JC19,JC19,JC19,jc19,jc19,JC19,jc19,,JC19,JC19,jc19,jc19,JC19,JC19,jc19,jc19,JC19,JC19,jc19,jc19
Fulton,,RW10,RW10,RW10,rw10,rw10,RW10,rw10,,RW10,RW10,rw10,rw10,RW10,RW10,rw10,rw10,RW10,RW10,rw10,rw10
Fulton,,JC03B,JC03B,JC03B,jc03b,jc03b,JC03B,jc03b,,JC03B,JC03B,jc03b,jc03b,JC03B,JC03B,jc03b,jc03b,JC03B,JC03B,jc03b,jc03b
Fulton,,CP083,CP083,CP083,cp083,cp083,CP083,cp083,,CP083,CP083,cp083,cp083,CP083,CP083,cp083,cp083,CP083,CP083,cp083,cp083
Fulton,,JC11,JC11,JC11,jc11,jc11,JC11,jc11,,JC11,JC11,jc11,jc11,JC11,JC11,jc11,jc11,JC11,JC11,jc11,jc11
Fulton,,JC12,JC12,JC12,jc12,jc12,JC12,jc12,,JC12,JC12,jc12,jc12,JC12,JC12,jc12,jc12,JC12,JC12,jc12,jc12
Fulton,,JC02,JC02,JC02,jc02,jc02,JC02,jc02,,JC02,JC02,jc02,jc02,JC02,JC02,jc02,jc02,JC02,JC02,jc02,jc02
Fulton,Sc14a,SC14,SC14A,SC14A,sc14a,sc14a,SC14A,sc14a,,SC14A,SC14A,sc14a,sc14a,SC14A,SC14A,sc14a,sc14a,SC14,SC14,sc14,sc14
Fulton,,09B,09B,09B,09b,09b,09B,09b,,09B,09B,09b,09b,09B,09B,09b,09b,09B,09B,09b,09b
Fulton,,AP09B,AP09B,AP09B,ap09b,ap09b,AP09B,ap09b,,AP09B,AP09B,ap09b,ap09b,AP09B,AP09B,ap09b,ap09b,AP09B,AP09B,ap09b,ap09b
Fulton,Ml05a,ML05,ML05,ML05,ml05,ml05,ML05,ml05,,ML05A,ML05A,ml05a,ml05a,ML05A,ML05A,ml05a,ml05a,ML05A,ML05A,ml05a,ml05a
Fulton,,SC23A,SC23A,SC23A,sc23a,sc23a,SC23A,sc23a,,SC23A,SC23A,sc23a,sc23a,SC23A,SC23A,sc23a,sc23a,SC23A,SC23A,sc23a,sc23a
Fulton,,HP01,HP01,HP01,hp01,hp01,HP01,hp01,,HP01,HP01,hp01,hp01,HP01,HP01,hp01,hp01,HP01,HP01,hp01,hp01
Fulton,,CP02,CP02,CP02,cp02,cp02,CP02,cp02,,CP02,CP02,cp02,cp02,CP02,CP02,cp02,cp02,CP02,CP02,cp02,cp02
Fulton,,ML06B,ML06B,ML06B,ml06b,ml06b,ML06B,ml06b,,ML06B,ML06B,ml06b,ml06b,ML06B,ML06B,ml06b,ml06b,ML06B,ML06B,ml06b,ml06b
Fulton,,JC04A,JC04A,JC04A,jc04a,jc04a,JC04A,jc04a,,JC04A,JC04A,jc04a,jc04a,JC04A,JC04A,jc04a,jc04a,JC04A,JC04A,jc04a,jc04a
Fulton,,AP05,AP05,AP05,ap05,ap05,AP05,ap05,,AP05,AP05,ap05,ap05,AP05,AP05,ap05,ap05,AP05,AP05,ap05,ap05
Fulton,,ML06A,ML06A,ML06A,ml06a,ml06a,ML06A,ml06a,,ML06A,ML06A,ml06a,ml06a,ML06A,ML06A,ml06a,ml06a,ML06A,ML06A,ml06a,ml06a
Fulton,,AP12B,AP12B,AP12B,ap12b,ap12b,AP12B,ap12b,,AP12B,AP12B,ap12b,ap12b,AP12B,AP12B,ap12b,ap12b,AP12B,AP12B,ap12b,ap12b
Fulton,,ML07A,ML07A,ML07A,ml07a,ml07a,ML07A,ml07a,,ML07A,ML07A,ml07a,ml07a,ML07A,ML07A,ml07a,ml07a,ML07A,ML07A,ml07a,ml07a
Fulton,,07C,07C,07C,07c,07c,07C,07c,,07C,07C,07c,07c,07C,07C,07c,07c,07C,07C,07c,07c
Fulton,,SS29A,SS29A,SS29A,ss29a,ss29a,SS29A,ss29a,,SS29A,SS29A,ss29a,ss29a,SS29A,SS29A,ss29a,ss29a,SS29A,SS29A,ss29a,ss29a
Fulton,,SS12,SS12,SS12,ss12,ss12,SS12,ss12,,SS12,SS12,ss12,ss12,SS12,SS12,ss12,ss12,SS12,SS12,ss12,ss12
Fulton,,SS08A,SS08A,SS08A,ss08a,ss08a,SS08A,ss08a,,SS08A,SS08A,ss08a,ss08a,SS08A,SS08A,ss08a,ss08a,SS08A,SS08A,ss08a,ss08a
Fulton,,07M,07M,07M,07m,07m,07M,07m,,07M,07M,07m,07m,07M,07M,07m,07m,07M,07M,07m,07m
Fulton,,07E,07E,07E,07e,07e,07E,07e,,07E,07E,07e,07e,07E,07E,07e,07e,07E,07E,07e,07e
Fulton,,SS14,SS14,SS14,ss14,ss14,SS14,ss14,,SS14,SS14,ss14,ss14,SS14,SS14,ss14,ss14,SS14,SS14,ss14,ss14
Fulton,,07B,07B,07B,07b,07b,07B,07b,,07B,07B,07b,07b,07B,07B,07b,07b,07B,07B,07b,07b
Fulton,,12M,12M,12M,12m,12m,12M,12m,,12M,12M,12m,12m,12M,12M,12m,12m,12M,12M,12m,12m
Fulton,,01P,01P,01P,01p,01p,01P,01p,,01P,01P,01p,01p,01P,01P,01p,01p,01P,01P,01p,01p
Fulton,,SS08D,SS08D,SS08D,ss08d,ss08d,SS08D,ss08d,,SS08D,SS08D,ss08d,ss08d,SS08D,SS08D,ss08d,ss08d,SS08D,SS08D,ss08d,ss08d
Fulton,,SS20,SS20,SS20,ss20,ss20,SS20,ss20,,SS20,SS20,ss20,ss20,SS20,SS20,ss20,ss20,SS20,SS20,ss20,ss20
Fulton,,01R,01R,01R,01r,01r,01R,01r,,01R,01R,01r,01r,01R,01R,01r,01r,01R,01R,01r,01r
Fulton,,05A2,05A2,05A2,05a2,05a2,05A2,05a2,,05A2,05A2,05a2,05a2,05A2,05A2,05a2,05a2,05A2,05A2,05a2,05a2
Fulton,,02E,02E,02E,02e,02e,02E,02e,,02E,02E,02e,02e,02E,02E,02e,02e,02E,02E,02e,02e
Fulton,,SS17,SS17,SS17,ss17,ss17,SS17,ss17,,SS17,SS17,ss17,ss17,SS17,SS17,ss17,ss17,SS17,SS17,ss17,ss17
Fulton,,SS01,SS01,SS01,ss01,ss01,SS01,ss01,,SS01,SS01,ss01,ss01,SS01,SS01,ss01,ss01,SS01,SS01,ss01,ss01
Fulton,,01T,01T,01T,01t,01t,01T,01t,,01T,01T,01t,01t,01T,01T,01t,01t,01T,01T,01t,01t
Fulton,,01B,01B,01B,01b,01b,01B,01b,,01B,01B,01b,01b,01B,01B,01b,01b,01B,01B,01b,01b
Fulton,,06I,06I,06I,06i,06i,06I,06i,,06I,06I,06i,06i,06I,06I,06i,06i,06I,06I,06i,06i
Fulton,,06D,06D,06D,06d,06d,06D,06d,,06D,06D,06d,06d,06D,06D,06d,06d,06D,06D,06d,06d
Fulton,,06F,06F,06F,06f,06f,06F,06f,,06F,06F,06f,06f,06F,06F,06f,06f,06F,06F,06f,06f
Fulton,,02F1,02F1,02F1,02f1,02f1,02F1,02f1,,02F1,02F1,02f1,02f1,02F1,02F1,02f1,02f1,02F1,02F1,02f1,02f1
Fulton,,ML03,,,,,,,,,,,,,,,,ML03,ML03,ml03,ml03
Fulton,,AP03,,,,,,,,,,,,,,,,AP03,AP03,ap03,ap03
Fulton,,SS26,,,,,,,,,,,,,,,,SS26,SS26,ss26,ss26
Taliaferro,Sharon,172,172,SHARON,172,sharon,Sharon,sharon,,172,SHARON,172,sharon,Sharon,Sharon,sharon,sharon,172,SHARON,172,sharon
Taliaferro,Crawfordville,601,601,CRAWFORDVILLE,601,crawfordville,Crawfordville,crawfordville,,601,CRAWFORDVILLE,601,crawfordville,Crawfordville,Crawfordville,crawfordville,crawfordville,601,CRAWFORDVILLE,601,crawfordville
Wilkes,Senior Citizen Center,1,1,SENIOR CITIZEN CENTER,1,senior citizen center,Senior Citizen Center,senior citizen center,,1,SENIOR CITIZEN CENTE,1,senior citizen cente,Senior Citizen Cente,Senior Citizen Center,senior citizen cente,senior citizen center,1,SENIOR CITIZEN CENTE,1,senior citizen cente
Wilkes,Young Farmer's Bldg,2A,2A,YOUNG FARMERS BLDG,2a,young farmers bldg,Young Farmers Bldg,young farmers bldg,,2A,YOUNG FARMER'S BLDG,2a,young farmer's bldg,Young Farmer's Bldg,Young Farmer's Bldg,young farmer's bldg,young farmer's bldg,2A,YOUNG FARMER'S BLDG,2a,young farmer's bldg
Wilkes,,99999,,,,,,,,99999,99999,99999,99999,,,,,,,,
Wilkes,Courthouse,4A,4A,COURTHOUSE,4a,courthouse,Courthouse,courthouse,,4A,COURTHOUSE,4a,courthouse,Courthouse,Courthouse,courthouse,courthouse,4A,COURTHOUSE,4a,courthouse
Wilkes,Metasville Fire Station,2B,2B,METASVILLE FIRE STA,2b,metasville fire sta,Metasville Fire Sta,metasville fire sta,,2B,METASVILLE FIRE STA,2b,metasville fire sta,Metasville Fire Sta,Metasville Fire Station,metasville fire sta,metasville fire station,2B,METASVILLE FIRE STA,2b,metasville fire sta
Wilkes,Rayle City Hall,3B,3B,RAYLE CITY HALL,3b,rayle city hall,Rayle City Hall,rayle city hall,,3B,RAYLE CITY HALL,3b,rayle city hall,Rayle City Hall,Rayle City Hall,rayle city hall,rayle city hall,3B,RAYLE CITY HALL,3b,rayle city hall
Wilkes,Edward B Pope Center,3A,3A,EDWARD B POPE CENTER,3a,edward b pope center,Edward B Pope Center,edward b pope center,,3A,EDWARD B POPE CENTER,3a,edward b pope center,Edward B Pope Center,Edward B Pope Center,edward b pope center,edward b pope center,3A,EDWARD B POPE CENTER,3a,edward b pope center
Wilkes,Tignall Sch Lunch Rm,4B,4B,TIGNALL SCH LUNCH RM,4b,tignall sch lunch rm,Tignal Sch Lunch Rm,tignal sch lunch rm,,4B,TIGNALL SCH LUNCH RM,4b,tignall sch lunch rm,Tignall Sch Lunch Rm,Tignall Sch Lunch RM,tignall sch lunch rm,tignall sch lunch rm,4B,TIGNALL SCH LUNCH RM,4b,tignall sch lunch rm
Greene,Union Point,004,004,UNION POINT,004,union point,Union Point,union point,,004,UNION POINT,004,union point,Union Point,Union Point,union point,union point,004,UNION POINT,004,union point
Greene,Greshamville,002,,,,,,,,,,,,,,,,002,GRESHAMVILLE,002,greshamville
Greene,Walker,007,,,,,,,,,,,,,,,,007,WALKER,007,walker
Greene,Woodville,003,,,,,,,,,,,,,,,,003,WOODVILLE,003,woodville
Greene,,99999,,,,,,,,99999,99999,99999,99999,,,,,,,,
Greene,Greensboro,001,001,GREENSBORO,001,greensboro,Greensboro,greensboro,,001,GREENSBORO,001,greensboro,Greensboro,Greensboro,greensboro,greensboro,001,GREENSBORO,001,greensboro
Greene,White Plains,006,006,WHITE PLAINS,006,white plains,White Plains,white plains,,006,WHITE PLAINS,006,white plains,White Plains,White Plains,white plains,white plains,006,WHITE PLAINS,006,white plains
Greene,Siloam,005,005,SILOAM,005,siloam,Siloam,siloam,,005,SILOAM,005,siloam,Siloam,Siloam,siloam,siloam,005,SILOAM,005,siloam
Greene,Old Salem,008,008,OLD SALEM,008,old salem,Old Salem,old salem,,008,OLD SALEM,008,old salem,Old Salem,Old Salem,old salem,old salem,008,OLD SALEM,008,old salem
Oconee,Dark Corner,08,08,DARK CORNER,08,dark corner,Dark Corner,dark corner,,08,DARK CORNER,08,dark corner,Dark Corner,Dark Corner,dark corner,dark corner,08,DARK CORNER,08,dark corner
Oconee,Bogart,09,09,BOGART,09,bogart,Bogart,bogart,,09,BOGART,09,bogart,Bogart,Bogart,bogart,bogart,09,BOGART,09,bogart
Oconee,Bishop,05,05,BISHOP,05,bishop,Bishop,bishop,,05,BISHOP,05,bishop,Bishop,Bishop,bishop,bishop,05,BISHOP,05,bishop
Oconee,Colham Ferry,02,02,COLHAM FERRY,02,colham ferry,Colham Ferry,colham ferry,,02,COLHAM FERRY,02,colham ferry,Colham Ferry,Colham Ferry,colham ferry,colham ferry,02,COLHAM FERRY,02,colham ferry
Oconee,High Shoals,06,06,HIGH SHOALS,06,high shoals,High Shoals,high shoals,,06,HIGH SHOALS,06,high shoals,High Shoals,High Shoals,high shoals,high shoals,06,HIGH SHOALS,06,high shoals
Oconee,Antioch,03,03,ANTIOCH,03,antioch,Antioch,antioch,,03,ANTIOCH,03,antioch,Antioch,Antioch,antioch,antioch,03,ANTIOCH,03,antioch
Oconee,Farmington,04,04,FARMINGTON,04,farmington,Farmington,farmington,,04,FARMINGTON,04,farmington,Farmington,Farmington,farmington,farmington,04,FARMINGTON,04,farmington
Oconee,Civic Center,12,12,CIVIC CENTER,12,civic center,Civic Center,civic center,,12,CIVIC CENTER,12,civic center,Civic Center,Civic Center,civic center,civic center,12,CIVIC CENTER,12,civic center
Oconee,Marswood Hall,10,10,MARSWOOD HALL,10,marswood hall,Marswood Hall,marswood hall,,10,MALCOM BRIDGE,10,malcom bridge,Malcom Bridge,Malcom Bridge,malcom bridge,malcom bridge,10,MALCOM BRIDGE,10,malcom bridge
Oconee,North Oconee,07,07,NORTH OCONEE,07,north oconee,North Oconee,north oconee,,07,NORTH OCONEE,07,north oconee,North Oconee,North Oconee,north oconee,north oconee,07,NORTH OCONEE,07,north oconee
Oconee,City Hall,13,,,,,City Hall,city hall,,13,CITY HALL,13,city hall,City Hall,City Hall,city hall,city hall,13,CITY HALL,13,city hall
Oconee,Athens Academy,11,11,EAST OCONEE,11,east oconee,East Oconee,east oconee,,11,ATHENS ACADEMY,11,athens academy,Athens Academy,Athens Academy,athens academy,athens academy,11,ATHENS ACADEMY,11,athens academy
Oconee,City Hall,01,01,CITY HALL,01,city hall,,,,01,ANNEX,01,annex,Annex,Annex,annex,annex,01,ANNEX,01,annex
Banks,,88888,,,,,,,,88888,88888,88888,88888,,,,,,,,
Banks,Homer,0010,0010,HOMER,0010,homer,Homer,homer,,0010,HOMER,0010,homer,Homer,Homer,homer,homer,0010,HOMER,0010,homer
Banks,Anderson,0001,0001,ANDERSON,0001,anderson,Anderson,anderson,,0001,ANDERSON,0001,anderson,Anderson,Anderson,anderson,anderson,0001,ANDERSON,0001,anderson
Banks,Baldwin,0002,0002,BALDWIN,0002,baldwin,Baldwin,baldwin,,0002,BALDWIN,0002,baldwin,Baldwin,Baldwin,baldwin,baldwin,0002,BALDWIN,0002,baldwin
Banks,Berlin,0003,0003,BERLIN,0003,berlin,Berlin,berlin,,0003,BERLIN,0003,berlin,Berlin,Berlin,berlin,berlin,0003,BERLIN,0003,berlin
Banks,Bushville,0004,0004,BUSHVILLE,0004,bushville,Bushville,bushville,,0004,BUSHVILLE,0004,bushville,Bushville,Bushville,bushville,bushville,0004,BUSHVILLE,0004,bushville
Banks,Columbia,0005,0005,COLUMBIA,0005,columbia,Columbia,columbia,,0005,COLUMBIA,0005,columbia,Columbia,Columbia,columbia,columbia,0005,COLUMBIA,0005,columbia
Banks,Golden Hill,0007,0007,GOLDEN HILL,0007,golden hill,Golden Hill,golden hill,,0007,GOLDEN HILL,0007,golden hill,Golden Hill,Golden Hill,golden hill,golden hill,0007,GOLDEN HILL,0007,golden hill
Banks,Grove River,0008,0008,GROVE RIVER,0008,grove river,Grove River,grove river,,0008,GROVE RIVER,0008,grove river,Grove River,Grove River,grove river,grove river,0008,GROVE RIVER,0008,grove river
Banks,Davids,0006,0006,DAVIDS,0006,davids,Davids,davids,,0006,DAVIDS,0006,davids,Davids,Davids,davids,davids,0006,DAVIDS,0006,davids
Banks,Wilmonts,0013,0013,WILMONTS,0013,wilmonts,Wilmonts,wilmonts,,0013,WILMONTS,0013,wilmonts,Wilmonts,Wilmonts,wilmonts,wilmonts,0013,WILMONTS,0013,wilmonts
Banks,Poplar Springs,0011,0011,POPLAR SPRINGS,0011,poplar springs,Poplar Springs,poplar springs,,0011,POPLAR SPRINGS,0011,poplar springs,Poplar Springs,Poplar Springs,poplar springs,poplar springs,0011,POPLAR SPRINGS,0011,poplar springs
Banks,Washington,0012,0012,WASHINGTON,0012,washington,Washington,washington,,0012,WASHINGTON,0012,washington,Washington,Washington,washington,washington,0012,WASHINGTON,0012,washington
Banks,Hollingsworth,0009,0009,HOLLINGSWORTH,0009,hollingsworth,Hollingsworth,hollingsworth,,0009,HOLLINGSWORTH,0009,hollingsworth,Hollingsworth,Hollingsworth,hollingsworth,hollingsworth,0009,HOLLINGSWORTH,0009,hollingsworth
Morgan,2. East Morgan,02,02,EAST MORGAN,02,east morgan,East Morgan,east morgan,,02,2. EAST MORGAN,02,2. east morgan,East Morgan,East Morgan,east morgan,east morgan,02,2. EAST MORGAN,02,2. east morgan
Morgan,3. Beth/springfield,03,03,BETH/SPRINGFIELD,03,beth/springfield,Beth/Springfield,beth/springfield,,03,3. BETH/SPRINGFIELD,03,3. beth/springfield,Beth/Springfield,Beth/Springfield,beth/springfield,beth/springfield,03,3. BETH/SPRINGFIELD,03,3. beth/springfield
Morgan,5. Clacks Chapel,05,05,CLACKS CHAPEL,05,clacks chapel,Clacks Chapel,clacks chapel,,05,5. CLACKS CHAPEL,05,5. clacks chapel,Clacks Chapel,Clacks Chapel,clacks chapel,clacks chapel,05,5. CLACKS CHAPEL,05,5. clacks chapel
Morgan,1. Northeast Morgan,01,01,NORTHEAST MORGAN,01,northeast morgan,Northeast Morgan,northeast morgan,,01,1. NORTHEAST MORGAN,01,1. northeast morgan,Northeast Morgan,Northeast Morgan,northeast morgan,northeast morgan,01,1. NORTHEAST MORGAN,01,1. northeast morgan
Morgan,,99999,,,,,,,,99999,99999,99999,99999,,,,,,,,
Morgan,,88888,,,,,,,,88888,88888,88888,88888,,,,,,,,
Morgan,4. Central Morgan,04,04,CENTRAL MORGAN,04,central morgan,Central Morgan,central morgan,,04,4. CENTRAL MORGAN,04,4. central morgan,Central Morgan,Central Morgan,central morgan,central morgan,04,4. CENTRAL MORGAN,04,4. central morgan
Morgan,7. North Morgan,07,07,NORTH MORGAN,07,north morgan,North Morgan,north morgan,,07,7. NORTH MORGAN,07,7. north morgan,North Morgan,North Morgan,north morgan,north morgan,07,7. NORTH MORGAN,07,7. north morgan
Morgan,6. West Morgan,06,06,WEST MORGAN,06,west morgan,West Morgan,west morgan,,06,6. WEST MORGAN,06,6. west morgan,West Morgan,West Morgan,west morgan,west morgan,06,6. WEST MORGAN,06,6. west morgan
Walton,Jersey,502,502,JERSEY,502,jersey,Jersey,jersey,,502,JERSEY,502,jersey,Jersey,Jersey,jersey,jersey,502,JERSEY,502,jersey
